word,count
कुरुष्व,23
ददृशुर,23
पुत्र,23
हन्तुं,23
लॊकान,23
करिष्यामि,23
ऽबरवीत,23
उत्पपात,23
राज्यम,23
परगृह्य,23
विश्वामित्रं,23
विद्यते,23
एनं,23
पुरीम,23
मुहूर्तम,22
उवाचेदं,22
पापं,22
गच्छति,22
नूनं,22
दशरथॊ,22
राक्षसा,22
उत्सहे,22
हतॊ,22
गता,22
भार्यां,22
सर्वतॊ,22
रथम,22
महीतले,22
राजानम,22
जञात्वा,22
किमर्थं,22
कार्यम,22
गमिष्यसि,22
जानकी,22
विद्धि,22
राक्षसेन्द्रस्य,22
सुतः,22
ददृशे,22
नरश्रेष्ठ,22
अस्त्रं,22
आसुर,22
गतिम,22
सयात,22
राक्षसैर,22
वचॊ,22
हितं,21
सदृशं,21
दातुम,21
संख्ये,21
मूर्ध्नि,21
वालिनं,21
समेत्य,21
बली,21
मनॊ,21
पित्रा,21
खलु,21
कः,21
हतं,21
महाबाहुर,21
भवेद,21
जनकात्मजाम,21
रावणम,21
एकॊ,21
सथितम,21
रुधिरं,21
अयम,21
काकुत्स्थं,21
राज्ञॊ,21
ऽहम,21
चरणौ,21
तरिषु,21
राज्ये,21
सत्रियः,21
गतिः,21
वैदेहि,20
पृथिवीं,20
विललाप,20
बभौ,20
ताव,20
ऽपय,20
सुमहान,20
पथि,20
लॊकस्य,20
यद्य,20
का,20
इयं,20
वत्स,20
सर्वभूतानां,20
हरीन,20
तेजस्वी,20
बाणैर,20
हृष्टा,20
परम,20
शक्यं,20
एषा,20
विभीषणम,20
कुशलं,20
निशाचरः,20
धि,20
नयवेदयत,20
राक्षसैः,20
मुहूर्तं,19
यच,19
सर्व,19
देशं,19
सुतम,19
भरातुर,19
भर्तारम,19
रम्यं,19
पुत्रम,19
राक्षसॊ,19
हृष्टाः,19
अन्ये,19
गमिष्यति,19
यथासुखम,19
कुम्भकर्णॊ,19
मेदिनीम,19
रक्षसाम,19
भविष्यसि,19
विविधान,19
दुःखम,19
शुश्राव,19
बहु,19
सागरं,19
वः,19
ऊचुः,19
हनूमन्तम,19
कालॊ,19
आगतम,19
पावकः,19
गतिं,19
करिष्यति,19
संक्रुद्धॊ,19
हा,19
रॊचते,19
धनुर,19
आहवे,19
परभॊ,19
मातरं,18
नाम्ना,18
पूर्वम,18
सवां,18
पुनस,18
कं,18
तैर,18
धरणीतले,18
राज्ञा,18
बुद्ध्या,18
आसीद,18
चाब्रवीत,18
महात्मा,18
पृथिव्यां,18
बरूहि,18
धर्मे,18
गताः,18
राक्षसाधिपः,18
परंतपः,18
निहतं,18
परंतप,18
ददृशुस,18
ददृशुः,18
वानरैः,18
नामतः,18
परजाः,18
हन्तुम,18
रक्षांसि,18
धीमतः,18
दुःखेन,18
वैदेहीम,18
सुग्रीवम,18
वीरं,18
दरक्ष्यसि,17
आशु,17
तिष्ठ,17
ताः,17
देव,17
कौसल्यां,17
उपस्थितम,17
ऽसमिन,17
सत्यम,17
अरिंदम,17
वसिष्ठॊ,17
सथिताः,17
चतुर्दश,17
वक्त्रं,17
भर्तुर,17
जगत,17
महात्मानं,17
महाबाहुः,17
दिशं,17
तयॊर,17
परीतॊ,17
इवाम्बरम,17
घॊरा,17
अर्हथ,17
सागरम,17
कुरुते,17
काकुत्स्थः,17
जनकात्मजा,17
ऽसति,17
विव्याध,17
उक्तं,17
सुता,17
ऽतर,17
तस्मै,17
पितुः,17
सथातुं,17
मही,16
कदा,16
निर्जगाम,16
आचचक्षे,16
भवनं,16
पुरे,16
विश्रुतः,16
पुष्पकं,16
पप्रच्छ,16
सर्वेषु,16
हृता,16
तेषाम,16
तिष्ठति,16
सर्वभूतानि,16
राघवौ,16
फलं,16
इच्छति,16
मधुरं,16
मतिं,16
सथिता,16
कर्तव्यं,16
वृतॊ,16
आससाद,16
बरह्मन,16
सौमित्रिर,16
च;,16
धर्मज्ञ,16
बिभेद,16
पतिता,16
पर्वतः,16
तया,16
बाहुभ्यां,16
सुग्रीव,16
मतिः,16
शरान,16
जहि,16
विचचार,16
मुहुः,16
वयक्तं,16
कन्या,16
परभुः,16
परमप्रीतॊ,16
परेषयाम,16
पातयाम,16
समाहिताः,16
रक्षसः,16
रक्षसा,16
महाबलाः,16
शरूयतां,16
भीमं,16
सवस्ति,16
शरॊतुम,16
निशाचराः,16
दिवम,15
दिवं,15
गिरा,15
अतुलं,15
अस्ति,15
वधं,15
चात्र,15
तूर्णम,15
पृष्ठतॊ,15
सवर्गं,15
जनः,15
कदनं,15
रतः,15
पुत्रः,15
राक्षसी,15
दक्षिणां,15
परीतिं,15
राज्ञः,15
कर्मणा,15
दीना,15
निपेतुर,15
हते,15
रूपम,15
कषितौ,15
मन्यसे,15
सेना,15
सौमित्रिम,15
भविष्यन्ति,15
अभिवाद्य,15
हृदि,15
यथान्यायं,15
रामश,15
मुनिः,15
नित्यम,15
वासवः,15
किष्किन्धां,15
समागम्य,15
उद्यम्य,15
बुद्धिं,15
अङ्गदं,15
तपः,15
पारं,15
हृष्टॊ,15
वक्ष्यामि,15
राघवाय,15
ययुः,15
नयवेदयन,15
शुभं,15
परया,15
सवेन,15
ऊचुर,15
तस्या,15
सर्वथा,15
रराज,15
घॊरैर,15
शतं,15
नरव्याघ्र,15
यूथपः,15
जीवितुम,15
यावत,15
सवम,15
ऽबरवीद,15
वसिष्ठं,15
पृष्ठतः,15
वीर्यं,15
करॊधाद,15
बहवॊ,15
मेने,15
विहाय,15
विधिवत,14
दृश्यन्ते,14
वासं,14
आश्रित्य,14
दिवि,14
देशे,14
अलं,14
सुग्रीवेण,14
पराणांस,14
लॊकानां,14
पराह,14
महामुनिः,14
शरूयते,14
पुनश,14
तैः,14
शरेष्ठॊ,14
निशम्य,14
हृदयं,14
उत्तरम,14
सीतायाः,14
परिष्वज्य,14
राघवे,14
फलम,14
चचार,14
तावत,14
वृत्तं,14
भरतस्य,14
तत्त्वतः,14
शत्रुघ्नॊ,14
बहुधा,14
भूतानि,14
तीव्रं,14
तीक्ष्णैर,14
हनूमतः,14
तरसा,14
महातपाः,14
आस्थितः,14
वशे,14
वेश्म,14
शेते,14
दर्शयाम,14
युक्तॊ,14
शुभम,14
पर्वतम,14
शक्या,14
इतः,14
दत्तं,14
जयेष्ठं,14
तरिदिवं,14
परहसन,14
परस्परम,14
सूतं,14
परत्यभाषत,14
चिच,14
सुदारुणम,14
सीताया,14
विश्वामित्रम,14
अभ्यधावत,14
नाहं,14
अभिदुद्राव,14
वीरा,14
भूयस,13
एतन,13
महतीं,13
देशम,13
सहिता,13
कथाः,13
सुरासुरैः,13
महात्मानॊ,13
करुणं,13
उद्दिश्य,13
परत्यदृश्यत,13
महीं,13
सर्वांस,13
उत्थाय,13
ववर्ष,13
सततं,13
परणम्य,13
दशरथस्य,13
शुशुभे,13
अत्यर्थं,13
उत्तरं,13
परतिभाति,13
तारा,13
कुम्भकर्णं,13
दीनॊ,13
मुदा,13
निहत्य,13
गतम,13
बहुभिः,13
ददामि,13
विमानं,13
यस्यार्यॊ,13
सुमहद,13
समुद्रस्य,13
मुनिं,13
कैकेय्या,13
शनैर,13
पाणिना,13
अतॊ,13
संग्रामे,13
भवतु,13
सतां,13
भवति,13
तपस,13
संहृष्टा,13
भद्रे,13
कृत्स्नं,13
विविधैर,13
परिघं,13
तान्य,13
शॊकेन,13
देवं,13
काकुत्स्थॊ,13
नराः,13
वधार्थं,13
गृहं,13
यज्ञं,13
कृते,13
नित्यशः,13
रक्षः,13
वधाय,13
जहार,13
सरितां,13
आवृत्य,13
वायुर,13
चान्ये,13
देवाः,13
पर्यवारयन,13
यॊजनानां,13
गतिर,13
भार्यया,13
रघुनन्दनः,13
ऽनुमते,13
नदीं,13
समुद्रं,13
सहिताः,13
पत्नी,12
चक्रिरे,12
यं,12
अस्तु,12
जातॊ,12
तत्त्वम,12
दशरथः,12
एतौ,12
अभवत,12
अन्यॊन्यम,12
रामेति,12
हरियूथपाः,12
बभञ्ज,12
पुरं,12
सती,12
सन,12
सुग्रीवस्य,12
अयॊध्यायां,12
शंस,12
नगरीं,12
हुताशनम,12
वेगं,12
कर्ता,12
आसीत,12
अपूजयन,12
दीप्तं,12
चक्रुः,12
वयसनं,12
बलेन,12
वसति,12
माता,12
शिरस्य,12
अब्रवीन,12
अग्रतः,12
इमाम,12
करिष्यसि,12
परदास्यामि,12
बरवीमि,12
परविश्य,12
परसादं,12
पराञ्जलिः,12
दवे,12
राघवेण,12
धर्मॊ,12
आश्रमम,12
रावणिः,12
एकं,12
चक्षुषा,12
विपुलं,12
धरुवं,12
लभते,12
कुले,12
बुद्धिर,12
भगवन,12
अयॊध्याम,12
बाढम,12
हन्ति,12
परहर्षम,12
एकेन,12
नृप,12
पुरंदरः,12
परविष्टॊ,12
करॊधम,12
सागरे,12
पन्थानम,12
इतॊ,12
मतिम,12
बहून,12
वर,12
देवानां,12
मायया,12
कृताञ्जलिर,12
कृतॊ,12
राक्षस,12
विश्वकर्मणा,12
रक्षॊ,12
शेषं,12
चिरं,12
आगता,12
नव,12
यावद,12
धीमता,12
उत्सृज्य,12
ईदृशम,12
आजघान,12
ऋषीणां,12
पावकम,12
ता,12
महाभागा,12
सुराः,12
दर्शनम,12
बभाषे,12
शरूयताम,12
ऽभवद,12
नृपम,12
कुम्भकर्णस्य,11
महातेजास,11
तेषु,11
समुपचक्रमे,11
अस्तं,11
विसृज्य,11
समाहितः,11
निबॊध,11
तीरे,11
तेपे,11
सहितॊ,11
परभृति,11
भर्तुः,11
आख्यातुम,11
राजंस,11
अभूत,11
पश्यसि,11
पुरुषर्षभ,11
मधुरां,11
हित्वा,11
दत्त्वा,11
जीवन,11
नेह,11
दशरथं,11
जीवति,11
सेनां,11
आरॊप्य,11
तवय्य,11
देवीं,11
विस्मयं,11
समन्तात,11
शक्रॊ,11
रम्या,11
इहागतः,11
पराणैर,11
कामं,11
वेगवान,11
विनेदुर,11
जग्मुः,11
यथागतम,11
ऽभयभाषत,11
अभिचक्राम,11
जनयाम,11
परमां,11
परीतिर,11
किल,11
बलवान,11
बलात,11
निर्मितं,11
हतम,11
कारणं,11
परहसन्न,11
दशग्रीवॊ,11
सलक्ष्मणः,11
सथितं,11
दिशश,11
अग्रतॊ,11
मत्कृते,11
अहॊ,11
बरह्मा,11
सौमित्रिं,11
दरक्ष्यामि,11
हरिभिर,11
परददौ,11
निशाम,11
सुसमाहितः,11
मन्त्रिभिः,11
बाहू,11
परवर्तते,11
महायशः,11
लक्ष्यते,11
तासां,11
राक्षसाधिपम,11
धरुवम,11
सार्धम,11
शतशॊ,11
कुलं,11
नादं,11
मुखम,11
तपॊ,11
दर्शनं,11
दरुतम,11
लॊकं,11
मेदिनी,11
महेन्द्रस्य,11
खरः,11
पुरुषव्याघ्र,11
युक्ता,11
युक्तः,11
सुराणाम,11
शैलं,11
सुखी,11
चापं,11
ययुर,11
अकरॊत,11
कैकेयीम,11
शुभे,11
ऋते,11
हृष्टः,11
काकुत्स्थम,11
कामरूपिणः,11
हितम,11
पतिं,11
मतिर,11
दत्ता,11
वानरैर,11
कुर्याद,11
भित्त्वा,11
महात्मनाम,11
चिरम,11
कालं,11
पुत्रान,11
परकाशते,11
