Continent,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Asia,Vietnam,28264391,28818993,29403860,30017460,30659157,31329210,32028847,32760191,33526032,34329446,35172657,36055820,36975957,37926503,38898597,39884879,40880598,41883842,42893258,43908540,44927973,45957991,46994771,48015047,48987973,49895731,50724015,51490844,52250324,53076862,54023152,55109176,56317461,57616926,58959045,60307305,61647642,62986915,64333357,65702500,67101583,68535628,69987617,71416812,72769366,74008073,75117209,76111109,77020331,77890899,78758010,79629676,80500625,81377056,82262996,83161145,84075580,85007447,85951912
Europe,Germany,68376002,68713920,69086530,69483349,69897556,70325997,70769436,71232304,71721922,72247225,72814899,73425276,74068738,74724168,75363329,75963700,76518660,77026811,77477619,77860668,78169287,78398250,78549958,78635758,78672415,78673559,78648816,78600404,78526576,78422458,78288577,78124452,77944929,77784306,77686865,77684875,77783439,77974722,78260173,78637382,79098094,79651903,80282985,80926118,81495194,81929441,82200333,82326019,82350467,82341545,82349027,82384256,82432026,82484111,82524343,82540739,82536138,82516297,82475271
Africa,Ethiopia,18433866,18788330,19150885,19522300,19903919,20297664,20706078,21132283,21579828,22052451,22553350,23084406,23645508,24234254,24846785,25480202,26128435,26790992,27476546,28197484,28959382,29777985,30642920,31503206,32289683,32958964,33486288,33903618,34294030,34773640,35426282,36282554,37319328,38500829,39768079,41077517,42417873,43802479,45240322,46747612,48333261,49998845,51730288,53502211,55281054,57042197,58774378,60481739,62174171,63868806,65577897,67303731,69040669,70784012,72526620,74263861,75993403,77718436,79446419
Africa,Egypt,21514023,22048587,22607727,23191489,23799589,24431420,25086028,25762133,26458178,27172404,27903093,28648825,29408697,30182426,30970067,31771227,32586961,33415926,34252634,35089893,35923283,36751162,37577248,38409289,39258086,40132189,41033408,41961731,42921556,43917526,44952497,46025305,47133557,48276547,49453054,50659625,51899728,53166492,54433720,55667119,56843275,57952386,59004372,60020423,61032081,62063810,63120498,64199588,65309201,66457136,67648419,68888032,70174632,71498433,72844998,74203215,75568453,76941572,78323298
Asia,Iran,17414215,17772538,18153564,18557412,18984036,19433222,19904579,20397551,20911449,21445515,21999103,22571865,23163924,23775945,24408927,25063612,25743217,26448218,27173692,27912687,28662011,29421198,30197689,31006191,31866190,32793173,33788867,34853522,35998637,37237306,38576541,40012129,41533339,43130529,44790735,46497235,48257311,50052662,51810746,53437770,54870583,56071545,57067645,57940444,58808655,59757114,60815686,61955730,63133032,64278307,65342319,66313553,67212850,68061695,68893323,69732007,70582086,71435498,72289291
Asia,Turkey,21238496,21863880,22519048,23195322,23885803,24585366,25290730,26000394,26714409,27434022,28160579,28894367,29633591,30373939,31109820,31837999,32556294,33267998,33982141,34711167,35464196,36245756,37054168,37884870,38730367,39585821,40446729,41316297,42206204,43132612,44105216,45130008,46198027,47285732,48360679,49399630,50393538,51349154,52278499,53200802,54130268,55068880,56012109,56959988,57911273,58864649,59821978,60783217,61742674,62692616,63627862,64544914,65446165,66339433,67235927,68143186,69063538,69992754,70923730
Asia,Thailand,20607323,21150234,21718195,22312977,22936039,23588546,24271352,24985010,25729780,26505650,27312399,28149653,29016942,29913729,30839333,31792743,32771644,33774026,34799247,35846930,36915397,38004462,39109571,40219377,41319380,42398941,43453204,44483729,45494423,46492281,47482643,48460289,49422519,50379788,51346204,52328663,53339762,54368583,55370526,56284973,57072058,57711519,58225969,58671177,59126690,59650157,60258113,60933752,61660383,62408639,63155029,63898879,64642931,65370277,66060383,66698483,67276383,67796451,68267982
Africa,"Congo, Dem. Rep.",12183661,12441551,12706358,12982427,13273008,13580254,13905162,14247631,14606625,14980445,15367539,15767376,16181202,16612368,17065408,17543319,18048341,18579012,19130171,19694467,20267009,20845085,21431338,22032669,22658905,23316776,24011465,24740389,25493382,26255837,27018690,27781042,28551259,29341286,30167580,31044153,31963766,32927332,33965482,35117790,36406226,37856212,39443819,41081774,42650247,44067369,45295039,46369335,47373590,48429878,49626200,50989424,52491329,54098245,55754885,57420522,59088415,60772175,62474901
Europe,France,41831805,42037803,42328940,42672812,43045963,43433879,43831475,44242612,44678632,45155921,45688594,46280695,46919371,47571948,48194218,48754817,49238715,49655097,50026522,50387730,50763212,51161640,51572812,51980081,52358648,52691826,52974009,53214788,53431051,53646954,53880143,54135673,54408866,54695692,54988578,55281465,55575215,55870924,56162822,56443567,56708260,56956057,57189616,57412239,57628904,57844501,58057570,58270419,58496138,58751572,59047795,59390720,59774531,60183884,60596691,60996506,61378065,61744596,62098413
Europe,United Kingdom,50616012,50631571,50706811,50829901,50991454,51184529,51404774,51650279,51921175,52218942,52544356,52895303,53264855,53640457,54006245,54349899,54666008,54954044,55212835,55443064,55645390,55819499,55964697,56081455,56170690,56234250,56273041,56290629,56295032,56296406,56303011,56317534,56341308,56379327,56436762,56516908,56622956,56753658,56902081,57058173,57214474,57369629,57525459,57681639,57838596,57997210,58156871,58318771,58488026,58671413,58874117,59097129,59339971,59604347,59891788,60202727,60538143,60896101,61270318
