Continent,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Africa,Mozambique,6442133,6535891,6636035,6742252,6854315,6972081,7095498,7224598,7359490,7500335,7647298,7800484,7959885,8125366,8296714,8473839,8657160,8847011,9043165,9245275,9453385,9665565,9882427,10109426,10353943,10620268,10908878,11214834,11530022,11843382,12145501,12441643,12731231,12992962,13199259,13334972,13384409,13365201,13336217,13378100,13547076,13867422,14318167,14854590,15409381,15933452,16412893,16862385,17295521,17735992,18200656,18691461,19200021,19721009,20246287,20770013,21290952,21811326,22332900
Europe,Romania,16310998,16607889,16856828,17077384,17284001,17485998,17687296,17886689,18078643,18254608,18407002,18533445,18640463,18745088,18870340,19031999,19237491,19480203,19744551,20007565,20252540,20473447,20674980,20863942,21051489,21245107,21447200,21652976,21854285,22039699,22201389,22333737,22439782,22530615,22622239,22724837,22845000,22975571,23096515,23179894,23206719,23169554,23077600,22948987,22810195,22680954,22567385,22465454,22372555,22282690,22191683,22100007,22010781,21925307,21845264,21771749,21705175,21644886,21589544
Australia,Australia,8177344,8398540,8604679,8804552,9004634,9209085,9419635,9635700,9854726,10072762,10286184,10493531,10697112,10903699,11122567,11359763,11617580,11892163,12175746,12457299,12728362,12987847,13236895,13472175,13690285,13889696,14067994,14227905,14379565,14536839,14709918,14901610,15109659,15332790,15567927,15812088,16066496,16330369,16596096,16853690,17096153,17320633,17529469,17727413,17921818,18118416,18319637,18525153,18734878,18947894,19164351,19382188,19604051,19840120,20103822,20403520,20744295,21119988,21513817
Asia,Sri Lanka,8240623,8362125,8495641,8642543,8803521,8978595,9167067,9367565,9578146,9796484,10020405,10248471,10480484,10717705,10962237,11215216,11477133,11746217,12018646,12289319,12554583,12812407,13063663,13311145,13559172,13810647,14066703,14325640,14584167,14837618,15082771,15317817,15544043,15765034,15986020,16210466,16439169,16669911,16899425,17123045,17337048,17542866,17740936,17925624,18089720,18229498,18340596,18428257,18510095,18610110,18745084,18921794,19134096,19369853,19610604,19842536,20062070,20272269,20473799
Asia,Syria,3413330,3496671,3587333,3685409,3790891,3903672,4023540,4150185,4283219,4422215,4566822,4716875,4872506,5034188,5202606,5378287,5561371,5751807,5949690,6155081,6368017,6588936,6817940,7054361,7297254,7546139,7800152,8059995,8328592,8609920,8906543,9219690,9547693,9886629,10230958,10576592,10921760,11267240,11614542,11966274,12324116,12690183,13063423,13438799,13809349,14171130,14518843,14856464,15200324,15572833,15988534,16454926,16962918,17490104,18004797,18484122,18920727,19321300,19694259
Africa,Madagascar,4083554,4168939,4258186,4351132,4447673,4547759,4651404,4758677,4869698,4984631,5103652,5226922,5354559,5486625,5623161,5764278,5909996,6060590,6216739,6379309,6548922,6725666,6909376,7100076,7297711,7502097,7713983,7933128,8157215,8383124,8608964,8833875,9059559,9289882,9530197,9784559,10054543,10339739,10639804,10953663,11280625,11620718,11974724,12343496,12728117,13129227,13547271,13981666,14430739,14892172,15364272,15846412,16338968,16842482,17357913,17885967,18426870,18980391,19546282
Africa,Cote d'Ivoire,2630132,2708840,2793262,2882232,2975083,3071653,3172308,3277914,3389763,3509432,3638385,3777543,3926909,4085408,4251345,4423736,4602382,4788525,4984378,5192919,5416416,5655462,5909848,6180001,6466158,6768313,7086257,7419474,7767109,8128032,8500985,8885888,9281593,9684478,10089976,10494827,10896269,11294791,11694318,12100741,12517730,12945880,13381799,13820229,14253952,14677200,15089912,15492127,15878555,16242889,16581653,16892864,17180649,17455501,17731840,18020946,18325979,18646754,18987007
Africa,Cameroon,4466497,4549464,4634190,4720787,4809464,4900528,4994394,5091573,5192659,5298296,5409083,5525481,5647721,5775774,5909450,6048706,6193834,6345309,6503500,6668834,6841763,7022124,7210272,7407756,7616558,7837926,8072879,8320635,8578425,8842355,9109727,9379109,9651552,9929831,10218016,10518855,10832919,11158600,11493770,11835344,12180819,12529904,12882506,13236573,13589699,13940337,14287475,14631908,14976200,15324051,15678269,16039737,16408085,16783366,17165267,17553589,17948395,18350022,18758778
Africa,Angola,4147509,4219332,4296534,4376947,4458962,4541519,4624143,4706909,4790376,4875462,4963068,5053693,5147083,5242084,5337063,5431135,5524090,5617242,5713156,5815282,5926333,6047736,6179685,6322194,6474796,6637419,6808850,6989988,7185188,7400231,7638420,7903368,8191774,8491682,8786652,9065562,9322550,9562796,9799680,10052567,10335052,10653515,11002910,11371750,11742960,12105105,12452725,12792237,13138265,13511575,13926373,14388244,14890474,15419943,15957460,16489021,17010366,17525367,18037964
South America,Chile,6081931,6194334,6321806,6461332,6610525,6767613,6931486,7101654,7278151,7461373,7651579,7848372,8050234,8254329,8457066,8655738,8849016,9037026,9220343,9400225,9577572,9752949,9925950,10095485,10260027,10418880,10571597,10719748,10867152,11018910,11178817,11348442,11527274,11714442,11908189,12107225,12310666,12518930,12733409,12956088,13187821,13429315,13678373,13929390,14174890,14409416,14630769,14840038,15039162,15231557,15419820,15604200,15783991,15959793,16132209,16301726,16468677,16633254,16795593
Europe,Netherlands,10027047,10148830,10275906,10407381,10542570,10680990,10822380,10966682,11114008,11264566,11418460,11575478,11734901,11895425,12055386,12213435,12368832,12521308,12670558,12816446,12958757,13097251,13231426,13360546,13483746,13600423,13710713,13814863,13912617,14003707,14088274,14166213,14238594,14308217,14378740,14452941,14531566,14614382,14701901,14794378,14891719,14994691,15102709,15212612,15320112,15422165,15517122,15605817,15690705,15775532,15862825,15953446,16045935,16137709,16225091,16305457,16377959,16443483,16503263
Africa,Burkina Faso,4284459,4326475,4371948,4421583,4475785,4534650,4597951,4665157,4735491,4808018,4881947,4956921,5033296,5112252,5195464,5284154,5378861,5479285,5584807,5694428,5807492,5923949,6044303,6169133,6299238,6435274,6577502,6726016,6881106,7043049,7212088,7388473,7572382,7763888,7963009,8169792,8384383,8606963,8837666,9076631,9323996,9580035,9844931,10118634,10401025,10692138,10992170,11301608,11621159,11951701,12294012,12648474,13015435,13395599,13789736,14198463,14622202,15061127,15515258
Africa,Mali,4637633,4693573,4750451,4808476,4867776,4928400,4990311,5053392,5117468,5182338,5247877,5314146,5381485,5450558,5522231,5597238,5675700,5757783,5844286,5936162,6034022,6138428,6249101,6364760,6483570,6604259,6725776,6848536,6974443,7106248,7245598,7394730,7552338,7712392,7866571,8009705,8139016,8258615,8378673,8513337,8672868,8861362,9076261,9313042,9564231,9824510,10092753,10371338,10662517,10969725,11295324,11639798,12001887,12380104,12772264,13176642,13592796,14020786,14459990
Africa,Niger,2461726,2535752,2609713,2683898,2758676,2834493,2911882,2991457,3073885,3159855,3249965,3344605,3443850,3547421,3654806,3765632,3879910,3997810,4119299,4244349,4372957,4505018,4640560,4779869,4923337,5071204,5223853,5381141,5542178,5705724,5871030,6038229,6208128,6381552,6559627,6743501,6933529,7130570,7336924,7555416,7788198,8036341,8299868,8578542,8871631,9178575,9499892,9835945,10185812,10548219,10922421,11308134,11706182,12118322,12546945,12993884,13460138,13945662,14450007
South America,Ecuador,3387357,3475475,3566804,3661499,3759759,3861808,3967916,4078387,4193546,4313726,4439206,4570153,4706566,4848259,4994917,5146294,5302370,5463176,5628565,5798368,5972464,6150690,6333049,6519792,6711284,6907740,7109119,7315156,7525548,7739894,7957811,8178948,8403034,8629832,8859125,9090592,9323745,9557974,9792658,10027109,10260587,10493498,10725281,10953182,11173647,11384506,11584074,11774005,11959586,12148188,12345023,12552036,12767415,12987992,13208869,13426402,13639708,13849721,14056740
Africa,Malawi,2880700,2930156,2984164,3041877,3102675,3166157,3232162,3300751,3372183,3446871,3525246,3607612,3694022,3784224,3877813,3974682,4074649,4178378,4287627,4404709,4531280,4667889,4814073,4969175,5132087,5301861,5481074,5670199,5863933,6055046,6239898,6409111,6567327,6741249,6967388,7268257,7661008,8128340,8616602,9051225,9380892,9583696,9681728,9721620,9772164,9883350,10070605,10319125,10612353,10922265,11228756,11529337,11833102,12144945,12472794,12822587,13195329,13589404,14005113
South America,Cambodia,4345800,4457418,4555803,4648644,4741920,4839899,4945074,5058226,5178625,5304357,5433306,5564215,5697598,5836139,5983575,6141404,6310320,6485769,6657435,6811663,6937996,7039481,7118136,7162333,7157572,7097800,6972559,6796368,6618684,6506208,6505693,6636869,6883519,7211815,7570081,7919802,8250479,8571130,8885701,9203893,9531928,9868226,10205755,10539239,10862069,11169233,11458858,11731187,11986128,12224414,12446949,12653684,12845222,13024171,13193961,13357574,13515884,13669857,13822644
North America,Guatemala,3146073,3239086,3333591,3429673,3527441,3627032,3728613,3832377,3938540,4047330,4158956,4273585,4391307,4512133,4636016,4762956,4892812,5025681,5162058,5302604,5447687,5597742,5752386,5910205,6069254,6228224,6386403,6544422,6703955,6867413,7036484,7211938,7393131,7578625,7766291,7954682,8143365,8333124,8525211,8721429,8923131,9131088,9345130,9564571,9788284,10015675,10246429,10481515,10723154,10974314,11237101,11512637,11800351,12098576,12404764,12717154,13034904,13358842,13690846
Africa,Zimbabwe,2746854,2830448,2918424,3010186,3105348,3203736,3305402,3410607,3519798,3633542,3752373,3876616,4006236,4140773,4279524,4422087,4568266,4718550,4874043,5036244,5206229,5385233,5573154,5768190,5967705,6170260,6374197,6581329,6797807,7032001,7289463,7571447,7874642,8194203,8523090,8855279,9189169,9523376,9852244,10169188,10469202,10748215,11005690,11244552,11469872,11684693,11891290,12086519,12261742,12405236,12509477,12575015,12607791,12612956,12597877,12570686,12529655,12481245,12451543
Africa,Zambia,2340352,2396669,2456377,2519173,2584872,2653413,2724859,2799397,2877314,2958976,3044733,3134831,3229329,3328063,3430747,3537265,3647470,3761707,3880914,4006340,4138837,4278863,4426079,4579560,4737942,4900255,5066012,5235519,5409528,5589172,5775165,5967511,6165560,6368542,6575403,6785211,6998307,7214499,7431752,7647450,7860053,8067972,8272498,8478471,8692599,8919456,9161931,9418120,9682058,9945115,10201562,10449825,10693471,10938261,11192422,11462365,11750105,12055384,12379612
Africa,Senegal,2416264,2463892,2513702,2566574,2623159,2683866,2748861,2818072,2891230,2967928,3047804,3130743,3217043,3307493,3403161,3504782,3612246,3725151,3843517,3967316,4096245,4231030,4370991,4512774,4651922,4785536,4912200,5033645,5154054,5279383,5414070,5559400,5714508,5879044,6051962,6232395,6420323,6615896,6818495,7027320,7241573,7461567,7686866,7915080,8143140,8369125,8591861,8812695,9035367,9265135,9505862,9758841,10023194,10297956,10581316,10871908,11169549,11474661,11787123
Europe,Greece,7566002,7646718,7725959,7805207,7885213,7965998,8046802,8126135,8201917,8271724,8333499,8386326,8431099,8470808,8509724,8551005,8596595,8646013,8697173,8746781,8793002,8833582,8870711,8912166,8968522,9046544,9149987,9274357,9408034,9534673,9642504,9728220,9795461,9848045,9892518,9934292,9972624,10007304,10045020,10094241,10160501,10247132,10351229,10464295,10574134,10671809,10754641,10824894,10884604,10937612,10986883,11032395,11073334,11111072,11147261,11183114,11219300,11255717,11291807
North America,Cuba,5919997,6049922,6177490,6300986,6419791,6534381,6646398,6758582,6874540,6998378,7133582,7281821,7441909,7609348,7777606,7941840,8099779,8252314,8401476,8550671,8701886,8855989,9010586,9160532,9298895,9420828,9525242,9614061,9689324,9754343,9812223,9862283,9905577,9949046,10001593,10069187,10155111,10256694,10366500,10473701,10570328,10654121,10727088,10790686,10847842,10900795,10949206,10992290,11031429,11068382,11104313,11140168,11175434,11208029,11234970,11254242,11265124,11268687,11266905
Europe,Serbia and Montenegro,7105848,7199471,7273981,7370153,7471053,7576664,7644411,7713964,7780381,7860442,7932423,8010127,8090588,8169862,8243056,8321934,8402575,8472257,8544687,8614981,8681198,8756005,8840966,8918143,9004086,9091000,9169326,9246440,9318465,9388325,9515000,9533336,9613644,9669888,9669888,9723912,9777137,9809689,9852116,9895502,9935057,10210920,10448018,10562866,10684474,10862873,10995456,11029245,11003339,10891329,10850210,10858358,10831812,10823280,10825900,10829175,10832545,10835426,10837664
Africa,Chad,2429431,2472725,2519184,2568013,2618633,2670681,2724017,2778716,2835038,2893372,2954088,3017366,3083054,3150606,3219259,3288547,3357972,3427888,3499681,3575273,3655905,3742580,3834574,3929341,4023300,4114094,4201073,4285738,4370560,4459072,4554089,4656116,4765160,4882913,5011242,5151339,5304490,5470211,5645708,5826974,6011224,6197766,6387856,6583079,6785842,6998108,7219081,7448585,7689836,7946982,8222327,8517944,8831199,9153893,9474792,9785902,10084087,10371839,10653762
Europe,Portugal,8416969,8432070,8475340,8534730,8600563,8665530,8724773,8775803,8818242,8853393,8882954,8907640,8925989,8933839,8925792,8899506,8851326,8786529,8722574,8682998,8684237,8732165,8820645,8939024,9070905,9203339,9333952,9463583,9586166,9695175,9785924,9855958,9905701,9937389,9955005,9962255,9958747,9945601,9930001,9921120,9925477,9946333,9982069,10028171,10077548,10124943,10169044,10211281,10252334,10293668,10336209,10379756,10423256,10465808,10506253,10543663,10577630,10608036,10634612
Europe,Belgium,8628489,8665736,8710135,8759521,8812159,8866744,8922420,8978760,9035709,9093483,9152271,9211920,9271655,9329967,9384939,9435244,9479970,9519500,9555402,9590007,9624908,9660688,9696539,9730978,9761867,9787677,9808403,9824685,9836487,9843898,9847297,9846320,9841800,9836784,9835279,9840123,9852488,9871551,9895654,9922158,9949019,9976325,10004469,10032084,10057529,10079873,10098192,10113392,10128653,10148371,10175684,10211264,10254025,10303108,10356993,10414209,10474993,10538758,10602167
Europe,Czech Rep.,8876260,8957188,9036508,9112988,9185663,9253842,9317119,9375356,9428668,9477371,9521854,9562444,9599284,9632276,9661235,9686318,9707426,9725518,9743100,9763422,9788863,9819749,9855516,9896416,9942472,9993206,10049465,10110020,10169747,10221861,10261606,10286947,10299490,10302679,10301798,10300844,10300475,10299854,10299711,10300582,10302718,10307130,10313662,10319923,10322561,10319337,10310016,10295984,10278707,10260335,10242890,10225701,10209500,10199327,10201665,10220638,10258796,10313525,10377359
Africa,Tunisia,3529608,3596387,3661847,3727072,3792913,3860000,3928722,3999242,4071527,4145402,4220701,4297441,4375959,4456986,4541457,4630000,4723497,4821782,4923201,5025402,5127001,5226965,5326668,5430023,5542400,5667516,5806713,5958456,6120018,6287287,6457092,6628154,6800734,6974955,7151430,7330267,7511099,7692463,7872065,8047027,8215111,8375587,8528401,8672916,8808669,8935523,9053410,9162870,9265266,9362447,9456117,9546453,9634180,9722180,9814009,9912114,10017832,10130368,10247325
Europe,Hungary,9337723,9478369,9594893,9689536,9764807,9823485,9868650,9903650,9932015,9957295,9982612,10010165,10040803,10073845,10107595,10140871,10173802,10207293,10241753,10277698,10315420,10354275,10393745,10434264,10476458,10520246,10566645,10614041,10656575,10686489,10698534,10690574,10665068,10627145,10584347,10542504,10502732,10464389,10429422,10399695,10376320,10360831,10352695,10348284,10342427,10331403,10313993,10291342,10264982,10237422,10210545,10184663,10159273,10134513,10110393,10086936,10064274,10042572,10021886
Africa,Rwanda,2072195,2128012,2187504,2250407,2316489,2385553,2457436,2532004,2609162,2688844,2771018,2855692,2942908,3032745,3125315,3220770,3319229,3420890,3526088,3635227,3748672,3866501,3988895,4116446,4249861,4389619,4536057,4688997,4847747,5011299,5178927,5343129,5502531,5669024,5859270,6080907,6356230,6672124,6959599,7124870,7109538,6871192,6452688,5984449,5648306,5570206,5803830,6297733,6944116,7582861,8098344,8456968,8696378,8857859,9009655,9201727,9441406,9710531,10004092
Europe,Serbia,6732256,6839783,6942216,7039281,7130885,7217120,7298269,7374796,7447327,7516595,7583324,7648077,7711142,7772481,7831873,7889351,7944927,7999327,8054147,8111427,8172645,8238178,8307669,8380884,8457297,8536301,8618095,8702227,8786614,8868545,8946077,9019281,9088833,9154306,9215339,9272302,9322048,9365835,9413538,9478469,9568744,9689735,9834717,9984888,10114158,10203932,10248363,10253548,10227702,10184152,10133561,10076784,10013058,9949713,9895409,9856152,9835841,9832994,9841360
North America,Haiti,3221277,3275552,3331968,3390630,3451618,3514984,3580755,3648930,3719485,3792367,3867502,3944791,4024114,4105331,4188276,4272760,4359031,4446944,4535485,4623315,4709644,4794158,4877645,4961817,5049035,5141143,5238431,5340812,5449236,5564724,5687812,5819084,5957920,6102119,6248634,6395193,6540928,6686182,6831374,6977397,7124877,7273530,7422881,7573160,7724690,7877569,8031903,8187204,8342233,8495358,8645371,8791931,8935252,9075399,9212634,9347262,9479136,9608453,9736332
North America,Dominican Rep.,2380116,2453032,2531372,2614665,2702503,2794531,2890455,2990035,3093081,3199436,3308941,3421385,3536474,3653809,3772937,3893484,4015213,4137994,4261702,4386255,4511577,4637627,4764319,4891500,5019002,5146742,5274591,5402683,5531528,5661827,5794074,5928429,6064722,6202698,6341950,6482152,6623094,6764750,6907171,7050480,7194666,7339826,7485619,7631076,7774932,7916309,8054768,8190620,8324680,8458164,8591967,8726256,8860760,8995398,9129965,9264267,9398285,9531954,9664948
South America,Bolivia,2713630,2767960,2824538,2883362,2944416,3007667,3073070,3140563,3210075,3281534,3354895,3430160,3507408,3586804,3668568,3752892,3839751,3929192,4021551,4117259,4216572,4319564,4426012,4535500,4647442,4761344,4877275,4995172,5114274,5233624,5352649,5471025,5589245,5708585,5830816,5957291,6088253,6223523,6363470,6508417,6658462,6813834,6974168,7138204,7304230,7470925,7637622,7804333,7971237,8138802,8307248,8476709,8646659,8815911,8982917,9146655,9306660,9463497,9618466
Africa,Guinea,3093652,3139830,3181059,3220178,3259387,3300253,3343673,3389911,3438669,3489211,3540756,3592879,3645873,3700897,3759549,3822583,3890947,3963201,4034827,4099723,4153653,4195876,4228217,4252351,4270991,4286863,4300114,4312321,4329468,4359115,4406831,4477191,4569938,4679999,4799450,4923603,5045781,5170120,5315182,5506436,5759374,6083795,6466435,6871525,7249558,7565235,7805735,7982155,8112650,8226138,8344486,8472339,8604936,8743954,8889321,9041448,9201941,9373619,9559110
North America,Sweden,7014001,7076003,7129070,7176203,7219871,7261994,7303942,7346541,7390134,7434674,7480001,7526139,7573556,7623278,7676568,7734003,7796427,7862718,7929066,7990318,8042839,8084965,8117863,8144217,8168135,8192569,8218933,8246302,8272581,8294604,8310467,8319266,8322909,8325682,8333446,8350392,8377422,8413155,8456561,8505752,8558829,8616729,8678657,8738894,8789976,8826949,8847421,8853934,8852650,8852487,8860153,8877022,8901831,8935392,8977965,9029345,9090707,9161374,9236872
Europe,Azerbaijan,2895997,2964962,3044695,3132625,3226823,3326002,3429548,3537490,3650388,3769151,3894494,4026358,4163396,4302765,4440733,4574500,4702919,4826262,4944932,5059921,5172002,5281238,5387375,5490572,5591016,5688997,5784587,5878259,5971198,6064905,6160502,6258490,6358780,6461139,6565062,6670151,6775858,6882160,6989708,7099449,7211692,7327570,7445925,7562075,7669735,7764798,7845310,7913692,7975648,8039312,8110723,8191464,8280252,8376733,8479668,8587902,8701719,8821012,8943600
Africa,Somalia,2264081,2313526,2363736,2415015,2467617,2521750,2577566,2635172,2694628,2755972,2819246,2884550,2952068,3022091,3094969,3170982,3254907,3347825,3442418,3528415,3601206,3646798,3673532,3725116,3860931,4117971,4521026,5042594,5603598,6093765,6435589,6597719,6608106,6521168,6419685,6363791,6372348,6426592,6504572,6570210,6599249,6585079,6543380,6498410,6484228,6524697,6628554,6786636,6982940,7193120,7399033,7596920,7791254,7981955,8170899,8359859,8547497,8733493,8922260
Africa,South Sudan,1880222,1919582,1961925,2006745,2053619,2102215,2152290,2203691,2256344,2310256,2365478,2422089,2480164,2539771,2600994,2664019,2728851,2795865,2866074,2940782,3020949,3107019,3198874,3296208,3398449,3505168,3615772,3730284,3849541,3974741,4106390,4245451,4390699,4537851,4681151,4816725,4942648,5060777,5175686,5294006,5420563,5556767,5701228,5852564,6008344,6166715,6327927,6492553,6659415,6827051,6994624,7161267,7327782,7497047,7673043,7858543,8054628,8260226,8473315
Africa,Benin,2255222,2258097,2264492,2274125,2286767,2302243,2320433,2341271,2364737,2390851,2419644,2451123,2485248,2521922,2561022,2602490,2646310,2692610,2741672,2793872,2849508,2908713,2971515,3037990,3108179,3182130,3259918,3341618,3427274,3516917,3610578,3708675,3811326,3917941,4027682,4140176,4254522,4371470,4494242,4627194,4773137,4934077,5108335,5290562,5473217,5651141,5821985,5988093,6154708,6329476,6517810,6721337,6937985,7164976,7397985,7633757,7871707,8112573,8355980
Europe,Austria,6936445,6930746,6929474,6931618,6936580,6944174,6954658,6968701,6987299,7011632,7042634,7080528,7124432,7172179,7220812,7268015,7312775,7355039,7394601,7431574,7465908,7497731,7526469,7550638,7568347,7578498,7580564,7575669,7566450,7556551,7548798,7544359,7543194,7545472,7550960,7559621,7570906,7585345,7605095,7632984,7670513,7719577,7778255,7839625,7894229,7935624,7960464,7971553,7976117,7984694,8004712,8038480,8083059,8134235,8185553,8232196,8273208,8309783,8341806
Africa,Burundi,2456300,2504993,2550737,2595383,2640339,2686568,2734574,2784417,2835768,2888007,2940498,2992893,3045392,3098852,3154474,3212864,3275465,3341476,3406650,3465190,3513499,3549864,3577187,3602204,3634284,3680401,3742452,3819115,3910124,4014190,4129997,4257303,4395560,4542467,4695065,4850597,5008201,5166403,5321108,5467413,5601720,5724030,5835071,5933293,6017127,6086751,6140258,6181493,6223515,6283662,6374347,6499653,6656071,6838764,7039534,7251424,7474363,7707781,7943385
Europe,Bulgaria,7250999,7282560,7324411,7375320,7433978,7499009,7568951,7642268,7717389,7792759,7867008,7939132,8008652,8075674,8140705,8204095,8265527,8324589,8381450,8436396,8489572,8541136,8590839,8637941,8681449,8720706,8754869,8784175,8810299,8835614,8861536,8888449,8914880,8938068,8954236,8960417,8956687,8943245,8917563,8876627,8818915,8743034,8651284,8550495,8449971,8356624,8273011,8198008,8130284,8067041,8006158,7947761,7892666,7840117,7789180,7739115,7689520,7640283,7591322
Europe,Switzerland,4668088,4726281,4788955,4851983,4912879,4970798,5026644,5082961,5143629,5213340,5296052,5393334,5502915,5618068,5729362,5829839,5916770,5991515,6056165,6114502,6169124,6221393,6269871,6311231,6340818,6355947,6355012,6340979,6321339,6306326,6303346,6315530,6341096,6376512,6415987,6455375,6493102,6530777,6571061,6617925,6673738,6740104,6814701,6891266,6961228,7018702,7060963,7090483,7112948,7136740,7167908,7207987,7254975,7307078,7361231,7415007,7468350,7521613,7573204
Europe,Serbia excluding Kosovo,5669381,5740346,5796017,5872523,5953031,6036689,6089204,6143253,6194662,6256770,6312062,6372199,6434674,6496989,6553345,6616174,6679670,6734744,6792148,6847754,6899922,6958528,7023750,7083225,7149280,7216985,7278470,7338958,7395174,7449587,7565921,7581337,7631673,7677979,7685681,7730951,7774033,7798925,7832155,7866504,7897937,7595636,7604063,7614328,7622711,7628264,7622185,7598538,7567745,7540401,7516346,7503433,7500031,7480591,7463157,7440769,7431485,7438779,7445215
North America,Honduras,1487235,1524916,1568190,1615241,1664744,1715862,1768277,1822159,1878095,1936957,1999530,2066098,2136100,2207969,2279568,2349455,2417101,2483231,2549206,2617017,2688208,2763122,2841609,2924118,3011047,3102649,3199231,3300735,3406539,3515736,3627640,3741932,3858691,3978080,4100422,4225870,4354245,4485151,4618245,4753109,4889311,5026843,5165380,5303798,5440691,5575099,5706605,5835607,5963008,6090164,6218151,6347272,6477525,6609337,6743128,6879243,7017769,7158819,7302742
Asia,Israel,1257970,1354111,1451533,1546309,1635879,1719060,1796115,1868679,1939534,2012232,2089963,2174351,2264402,2356045,2443420,2522641,2591671,2652723,2711274,2775091,2849534,2936585,3033863,3137027,3239653,3336984,3428067,3514143,3595324,3672295,3745797,3816400,3884594,3951159,4017024,4083495,4149457,4216475,4291626,4384139,4499949,4642324,4807603,4986162,5164345,5332079,5486774,5630785,5765115,5892366,6014953,6131313,6241593,6352106,6471236,6604572,6755143,6920182,7092324
Asia,"Hong Kong, China",1973998,2036119,2133544,2249255,2370729,2489955,2603651,2713041,2823161,2941712,3075605,3227278,3391480,3553881,3694996,3801680,3868368,3901531,3914978,3928817,3958092,4005661,4068311,4147503,4243420,4355208,4485716,4633225,4786467,4930176,5053554,5151920,5228670,5291060,5350313,5414630,5486801,5564427,5644480,5721987,5793857,5857068,5914114,5973754,6048024,6144316,6268283,6414109,6563860,6692636,6783317,6828869,6836766,6822233,6807752,6809859,6832989,6872780,6926368
Asia,Papua New Guinea,1708192,1729258,1750891,1773340,1796820,1821508,1847546,1875038,1904061,1934676,1966961,2001049,2037162,2075625,2116822,2161087,2208398,2258847,2312978,2371467,2434698,2503009,2576020,2652505,2730770,2809595,2888403,2967506,3047644,3129991,3215339,3304033,3395633,3489227,3583521,3677658,3771385,3865230,3960087,4057228,4157654,4261537,4368815,4479959,4595463,4715617,4840693,4970478,5104153,5240560,5378824,5518586,5659946,5803029,5948135,6095437,6244916,6396307,6549268
South America,Paraguay,1473245,1511975,1551186,1591144,1632078,1674172,1717573,1762386,1808678,1856488,1905829,1956714,2009165,2063215,2118896,2176195,2235296,2296118,2358072,2420365,2482508,2544362,2606357,2669285,2734247,2802133,2873058,2947064,3024857,3107259,3194768,3287677,3385626,3487626,3592275,3698465,3805813,3914302,4023628,4133551,4243860,4354331,4464780,4575121,4685320,4795365,4905150,5014650,5124050,5233615,5343539,5453921,5564709,5675754,5786836,5897816,6008597,6119295,6230242
Asia,United Arab Emirates,69589,67816,69504,72700,76008,78599,80233,81232,82405,84913,89871,97936,108927,121678,134478,146387,156934,167420,180858,201308,231754,272529,322868,383152,453530,533554,624390,724684,828378,927412,1016228,1092153,1157336,1217021,1279010,1349000,1428788,1516782,1611257,1709232,1808642,1909812,2014095,2121704,2232980,2348539,2473983,2611610,2755497,2897038,3033491,3149440,3254691,3400959,3658042,4069349,4662728,5405541,6206623
Africa,Libya,1029010,1035282,1048211,1067811,1093883,1126017,1163569,1205683,1251337,1299425,1349004,1399552,1451196,1504811,1561744,1622996,1688870,1759132,1833611,1911968,1994000,2079897,2169965,2264278,2362900,2466000,2572300,2681887,2797780,2924086,3063000,3216430,3381390,3549220,3708142,3849801,3970886,4074021,4164147,4249018,4334459,4421885,4509970,4598629,4687106,4775009,4862665,4951076,5041233,5134324,5231189,5331311,5434293,5541062,5652797,5769709,5893738,6023053,6149620
North America,El Salvador,2199897,2236298,2278493,2325449,2376483,2431261,2489824,2552562,2620149,2693432,2773095,2859302,2951387,3047718,3146076,3244774,3342957,3440705,3538389,3636782,3736311,3836884,3937757,4037935,4136133,4231358,4323383,4412237,4497535,4578922,4656263,4729467,4798918,4865611,4930893,4995888,5060307,5124240,5189565,5258654,5332842,5413269,5498489,5584047,5663820,5733401,5791403,5839103,5878097,5911094,5940305,5966027,5988233,6008523,6028792,6050513,6074487,6100868,6129628
Asia,Laos,1682917,1724429,1766485,1809151,1852491,1896569,1941441,1987164,2033789,2081371,2129968,2179647,2230493,2282604,2336091,2391060,2447006,2503880,2562718,2624932,2691207,2762977,2839169,2914999,2983956,3041847,3086518,3120663,3150906,3186599,3234555,3296978,3372093,3457860,3550669,3647754,3748525,3853600,3962714,4075767,4192414,4312348,4434570,4557216,4677981,4795112,4907960,5016576,5120845,5220920,5317060,5408912,5496700,5582028,5667055,5753341,5841572,5931385,6022001
Asia,Jordan,448861,503766,543439,576884,610705,649110,693790,744040,797113,848827,895357,935159,970642,1008891,1059627,1129219,1220890,1330877,1449985,1565143,1666920,1752689,1825322,1887681,1944733,2000538,2055198,2108538,2164159,2226485,2298691,2383227,2479683,2584859,2693837,2803422,2910375,3016540,3129651,3260496,3415567,3599359,3806045,4019284,4216536,4382005,4510082,4606717,4682018,4751501,4827096,4910056,4998372,5096790,5210369,5342002,5495117,5667443,5848952
